Tm/s,Flow ,Velocity,S,Status
102.4,24.598,1.8193,"809,809",Leaking
102.4,24.642,1.8213,"809,809",Leaking
102.4,24.607,1.8254,"809,809",Leaking
102.4,24.649,1.8294,"809,809",Leaking
102.4,24.69,1.8257,"809,809",Leaking
102.4,24.665,1.8277,"809,809",Leaking
102.4,24.69,1.8208,"809,809",Leaking
102.4,24.618,1.8277,"809,809",Leaking
102.4,24.683,1.8328,"809,809",Leaking
102.4,24.741,1.8167,"809,809",Leaking
102.4,24.566,1.8206,"809,809",Leaking
102.4,24.577,1.8194,"809,809",Leaking
102.4,24.606,1.8232,"809,809",Leaking
102.4,24.633,1.8206,"809,809",Leaking
102.4,24.24,1.7987,"809,809",Leaking
102.4,23.544,1.6914,"809,809",Leaking
102.4,22.573,1.6441,"809,809",Leaking
102.4,21.808,1.6082,"809,809",Leaking
102.4,21.708,1.6064,"809,809",Leaking
102.4,21.704,1.6063,"809,809",Leaking
102.4,21.664,1.6,"809,809",Leaking
102.4,21.502,1.5868,"809,809",Leaking
102.4,21.501,1.5938,"809,809",Leaking
102.4,21.551,1.5921,"809,809",Leaking
102.4,21.51,1.5909,"809,809",Leaking
102.4,21.569,1.5949,"809,809",Leaking
102.4,21.542,1.5904,"809,809",Leaking
102.4,21.49,1.5893,"809,809",Leaking
102.4,21.575,1.5929,"809,809",Leaking
102.4,21.497,1.5922,"809,809",Leaking
102.4,21.547,1.5845,"809,809",Leaking
102.4,21.425,1.5782,"809,809",Leaking
102.4,21.324,1.5711,"809,809",Leaking
102.4,21.151,1.5618,"809,809",Leaking
102.4,21.108,1.5688,"809,809",Leaking
102.4,21.214,1.5705,"809,809",Leaking
102.4,21.203,1.5624,"809,809",Leaking
102.4,21.3909,1.5483,"809,809",Leaking
102.4,21.3462,1.5063,"809,809",Leaking
101.6,19.504,1.4413,"809,809",Leaking
101.6,19.472,1.436,"809,809",Leaking
101.6,19.398,1.4308,"809,809",Leaking
101.6,19.337,1.4409,"809,809",Leaking
101.6,19.501,1.4404,"809,809",Leaking
101.6,19.461,1.4374,"809,809",Leaking
101.6,19.405,1.4365,"809,809",Leaking
101.6,19.416,1.4345,"809,809",Leaking
101.6,19.292,1.4249,"809,809",Leaking
101.6,19.26,1.4268,"809,809",Leaking
102.6,28.068,2.073,"809,809",No Leaking
102.6,28.02,2.0799,"809,809",No Leaking
102.6,28.074,2.0904,"809,809",No Leaking
102.6,28.198,2.1,"809,809",No Leaking
102.6,28.333,2.097,"809,809",No Leaking
102.6,28.35,2.0906,"809,809",No Leaking
102.6,28.272,2.0869,"809,809",No Leaking
102.6,27.639,2.0437,"809,809",No Leaking
102.5,28.087,2.0824,"809,809",No Leaking
102.5,28.193,2.0907,"809,809",No Leaking
102.5,28.135,2.0821,"809,809",No Leaking
102.5,28.005,2.0735,"809,809",No Leaking
102.5,28.085,2.0776,"809,809",No Leaking
102.5,28.027,2.0778,"809,809",No Leaking
102.5,28.078,2.0784,"809,809",No Leaking
102.5,28.069,2.0746,"809,809",No Leaking
102.5,28.018,2.0732,"809,809",No Leaking
102.5,28.004,2.0752,"809,809",No Leaking
102.5,28.027,2.0706,"809,809",No Leaking
102.5,27.961,2.0665,"809,809",No Leaking
102.5,27.923,2.069,"809,809",No Leaking
102.5,27.937,2.0708,"809,809",No Leaking
102.5,27.97,2.0671,"809,809",No Leaking
102.5,28.047,2.072,"809,809",No Leaking
102.5,28.006,2.0674,"809,809",No Leaking
102.5,27.95,2.0628,"809,809",No Leaking
102.5,27.804,2.0583,"809,809",No Leaking
102.5,27.788,2.0657,"809,809",No Leaking
102.5,27.888,2.07,"809,809",No Leaking
102.5,27.945,2.0699,"809,809",No Leaking
102.5,27.97,2.0722,"809,809",No Leaking
102.5,27.982,2.0651,"809,809",No Leaking
102.5,27.952,2.0559,"809,809",No Leaking
102.5,27.739,2.0513,"809,809",No Leaking
102.5,27.714,2.0534,"809,809",No Leaking
102.5,27.752,2.0546,"809,809",No Leaking
102.5,27.783,2.0594,"809,809",No Leaking
102.5,27.828,2.0584,"809,809",No Leaking
102.5,27.819,2.0631,"809,809",No Leaking
102.5,27.901,2.0671,"809,809",No Leaking
102.5,27.907,2.0634,"809,809",No Leaking
102.5,27.856,2.06,"809,809",No Leaking
102.5,27.804,2.54,"809,809",No Leaking
102.5,27.729,2.0522,"809,809",No Leaking
102.5,27.72,2.0531,"809,809",No Leaking
102.5,27.747,2.0511,"809,809",No Leaking
102.5,27.694,2.0504,"809,809",No Leaking
102.5,27.712,2.0548,"809,809",No Leaking
102.5,27.752,2.0561,"809,809",No Leaking
102.5,27.793,2.0615,"809,809",No Leaking
102.5,27.851,2.0654,"809,809",No Leaking
102.5,27.889,2.0586,"809,809",No Leaking
102.5,27.792,2.0509,"809,809",No Leaking
102.5,27.709,2.0562,"809,809",No Leaking
102.5,27.781,2.0638,"809,809",No Leaking
101.6,19.242,1.4211,"809,809",Leaking
101.6,19.254,1.4321,"809,809",Leaking
101.6,19.459,1.4466,"809,809",Leaking
101.6,19.533,1.443,"809,809",Leaking
101.6,19.501,1.4429,"809,809",Leaking
101.6,19.477,1.4389,"809,809",Leaking
101.6,19.539,1.4981,"809,809",Leaking
101.6,20.586,1.5794,"809,809",Leaking
101.6,21.438,1.612,"809,809",Leaking
101.6,21.817,1.6245,"809,809",Leaking
101.7,21.951,1.6261,"809,809",Leaking
101.7,21.979,1.6288,"809,809",Leaking
101.7,22.041,1.6314,"809,809",Leaking
101.7,22.037,1.6363,"809,809",Leaking
101.7,21.988,1.6257,"809,809",Leaking
101.7,21.963,1.6257,"809,809",Leaking
102.2,20.863,1.6257,"809,809",Leaking
102.2,21.565,1.4856,"809,809",Leaking
102.1,20.169,1.4417,"809,809",Leaking
101.7,19.2,1.4378,"809,809",Leaking
101.6,20.649,1.4651,"809,809",Leaking
101.6,19.632,1.4493,"809,809",Leaking
101.6,19.594,1.4506,"809,809",Leaking
101.6,19.504,1.4406,"809,809",Leaking
101.6,19.533,1.4425,"809,809",Leaking
101.6,19.398,1.4422,"809,809",Leaking
101.6,19.573,1.4475,"809,809",Leaking
101.5,19.537,1.4407,"809,809",Leaking
101.6,19.459,1.4394,"809,809",Leaking
101.6,19.447,1.4425,"809,809",Leaking
101.5,19.49,1.4457,"809,809",Leaking
101.5,19.474,1.4436,"809,809",Leaking
101.5,19.515,1.451,"809,809",Leaking
101.5,19.587,1.4463,"809,809",Leaking
101.5,19.544,1.4444,"809,809",Leaking
101.5,19.497,1.4372,"809,809",Leaking
101.5,19.427,1.4438,"809,809",Leaking
101.5,19.499,1.4461,"809,809",Leaking
101.5,19.537,1.4445,"809,809",Leaking
101.5,19.517,1.4392,"809,809",Leaking
101.5,19.454,1.4341,"809,809",Leaking
101.5,19.377,1.4264,"809,809",Leaking
101.5,19.281,1.4309,"809,809",Leaking
101.5,19.319,1.4307,"809,809",Leaking
101.5,19.337,1.4254,"809,809",Leaking
101.5,19.265,1.4287,"809,809",Leaking
101.5,19.281,1.4348,"809,809",Leaking
101.5,19.368,1.4296,"809,809",Leaking
101.5,19.324,1.4344,"809,809",Leaking
101.5,19.362,1.4348,"809,809",Leaking
101.8,19.389,1.4349,"809,809",Leaking
102,19.377,1.44,"809,809",Leaking
102.2,19.434,1.4303,"809,809",Leaking
102.4,19.395,1.4113,"809,809",Leaking
102.5,27.867,2.0586,"809,809",No Leaking
102.5,27.815,2.0562,"809,809",No Leaking
102.5,27.777,2.0553,"809,809",No Leaking
102.5,27.77,2.0577,"809,809",No Leaking
102.4,19.166,1.4057,"809,809",Leaking
102.5,18.954,1.4,"809,809",Leaking
102.5,18.896,1.383,"809,809",Leaking
102.5,18.963,1.4101,"809,809",Leaking
102.6,19.112,1.4164,"809,809",Leaking
102.6,19.144,1.4212,"809,809",Leaking
102.6,19.144,1.4212,"809,809",Leaking
102.6,19.233,1.4244,"809,809",Leaking
102.6,19.206,1.4187,"809,809",Leaking
102.6,19.13,1.4143,"809,809",Leaking
102.6,19.098,1.4114,"809,809",Leaking
102.6,19.031,1.4061,"809,809",Leaking
102.6,19.017,1.4091,"809,809",Leaking
102.6,19.013,1.4045,"809,809",Leaking
102.6,18.988,1.4084,"809,809",Leaking
102.6,19.026,1.4061,"809,809",Leaking
102.6,18.932,1.3971,"809,809",Leaking
102.6,18.878,1.4035,"809,809",Leaking
102.6,18.957,1.4085,"809,809",Leaking
102.6,19.029,1.4081,"809,809",Leaking
102.6,19.015,1.4094,"809,809",Leaking
102.5,27.979,2.0538,"809,809",No Leaking
102.5,27.75,2.048,"809,809",No Leaking
102.5,27.678,2.0486,"809,809",No Leaking
102.5,27.693,2.0478,"809,809",No Leaking
102.5,27.248,2.02,"809,809",No Leaking
102.5,27.248,2.0206,"809,809",No Leaking
102.5,27.289,2.0168,"809,809",No Leaking
