,Model_Name,Train_Accuracy,Train_Precision,Train_Recall,Train_F1_score,Test_Accuracy,Test_Precision,Test_Recall,Test_F1_Score
0,Logistic Regression,0.9810333551340745,0.99880810488677,0.9676674364896074,0.982991202346041,0.9740853658536586,1.0,0.9553805774278216,0.9771812080536914
1,SVM Classifier,0.9843034663178548,1.0,0.9722863741339491,0.9859484777517564,0.9771341463414634,1.0,0.9606299212598425,0.9799196787148594
2,Artificial Neural Network,0.9803793328973185,0.9988066825775657,0.9665127020785219,0.9823943661971832,0.9725609756097561,1.0,0.952755905511811,0.9758064516129031
